pID,created,skill,lastWorked,uniqueRegexes,longAgo,languages,int_skill,int_lastWorked,int_uniqueRegexes,int_longAgo,calc_skill,flattened_calc_skill,algorithm_experienced_or_beginner,,,,
65d47775-44b1-4950-a18d-4193bd2552da,1650331902159,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),3 months,30-75,3-5 years,,1,2,4,1,10,0.56,advanced,,,,65d47775-44b1-4950-a18d-4193bd2552da
a6369231-93e0-419d-8f59-e34446b354bb,1650333278625,Intermediate: Have used more sophisticated features like non-greedy quantifiers (/a+?/) and character classes (/\d \w [abc] [^\d]/),3 months,16-30,3-5 years,,2,2,3,1,12,0.67,advanced,,,,a6369231-93e0-419d-8f59-e34446b354bb
e5d137f1-277e-408c-b924-851ef274e9f7,1650319209484,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),No experience,1-5,Less than 3 years,,1,0,1,2,6,0.33,beginner,,,,e5d137f1-277e-408c-b924-851ef274e9f7
7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef,1650320065958,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),12 months,16-30,3-5 years,,1,1,3,1,8,0.44,beginner,,,,7bb0cd95-16ac-4a6f-bc14-c13cc2a0e4ef
aa1dbf8a-f9c5-467e-9444-94077f1a7290,1650335564240,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),12 months,1-5,3-5 years,,1,1,1,1,6,0.33,beginner,,,,aa1dbf8a-f9c5-467e-9444-94077f1a7290
544f173b-f988-47a4-914d-9817a2da24f0,1650321858341,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),12 months,1-5,Less than 3 years,,1,1,1,2,7,0.39,beginner,,,,544f173b-f988-47a4-914d-9817a2da24f0
b2d5d7e9-c924-42ae-a2f7-a020c24d9aff,1650321909526,"Advanced: Have used more advanced features like exact quantifiers (/abc{4}(def){2, 6}/) and escaping special characters (/$.co/)",Week,30-75,Less than 3 years,,3,3,4,2,18,1,advanced,,,,b2d5d7e9-c924-42ae-a2f7-a020c24d9aff
c3ce52b9-79f5-4374-be45-90512e6a332d,1650337393460,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),3 months,6-15,Less than 3 years,,1,2,2,2,9,0.5,advanced,,,,c3ce52b9-79f5-4374-be45-90512e6a332d
e0940a9f-808a-48cb-a276-213f437634b9,1650324661270,Intermediate: Have used more sophisticated features like non-greedy quantifiers (/a+?/) and character classes (/\d \w [abc] [^\d]/),12 months,1-5,Less than 3 years,,2,1,1,2,10,0.56,advanced,,,,e0940a9f-808a-48cb-a276-213f437634b9
ebe39a0b-74a9-40ea-bcce-d935364d856b,1650404341516,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),3 months,6-15,Less than 3 years,,1,2,2,2,9,0.5,advanced,,,,ebe39a0b-74a9-40ea-bcce-d935364d856b
243f8b50-f8bd-4b5e-93da-04dda4a686c9,1650408944039,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),No experience,0,3-5 years,,1,0,0,1,4,0.22,beginner,,,,243f8b50-f8bd-4b5e-93da-04dda4a686c9
2660da2e-3cd3-41db-b96c-366d9cca976b,1650410839538,Beginner: Have basic experience using only characters and simple quantifiers (such as /(abd)*tf/),12 months,1-5,Less than 3 years,,1,1,1,2,7,0.39,beginner,,,,2660da2e-3cd3-41db-b96c-366d9cca976b
